sepal_length,sepal_width,petal_length,petal_width,target,prediction
6.1,2.7851521349268666,5.7,1.4,1,1
5.7,2.2962528401979974,5.2,1.3,1,1
5.6,3.5949194286545256,5.9,2.0,2,2
6.3,3.425089669536503,7.0,2.5,2,2
6.6,3.34299000645136,5.6,1.3,1,1
5.0,2.091287889663948,4.5,1.0,1,1
6.4,3.413894624207074,5.5,1.5,1,1
6.1,2.6592108790431483,5.7,1.2,1,1
5.1,3.5292101633425155,2.4,0.3,0,0
6.5,2.6518270706964584,6.2,2.0,2,2
6.1,2.3448908366413503,5.7,1.4,1,1
5.4,3.676305208482981,2.5,0.2,0,0
6.4,2.9086252088524587,6.5,1.8,2,1
5.7,3.229198618180403,5.2,1.2,1,1
5.1,3.5831692996440494,2.5,0.4,0,0
6.3,2.8387258543421323,5.7,1.6,1,1
5.7,3.115470386301803,5.2,1.2,1,1
6.3,2.5787009454342065,6.0,1.9,2,2
6.3,3.674715800149914,5.7,1.6,1,1
4.6,3.4759296050734063,2.0,0.2,0,0
4.3,3.197215841428304,2.1,0.1,0,0
6.3,2.858520676985952,5.9,1.8,2,1
5.8,2.762299682567396,5.1,1.0,1,1
5.4,3.6404543909198788,2.5,0.2,0,0
6.5,2.6939551036019274,6.8,2.2,2,2
5.5,2.7961195427412466,5.0,1.3,1,1
5.5,4.6125136164465514,2.4,0.2,0,0
5.5,3.780376103141822,2.4,0.2,0,0
6.7,3.0286499959603534,6.7,2.5,2,2
5.4,4.457304944405802,2.3,0.4,0,0
