sepal_length,sepal_width,petal_length,petal_width,target,prediction
5.6,3.0614269643734993,4.6,1.3,1,1
7.0,3.1592806153471478,5.7,1.4,1,1
6.0,2.636395764361037,5.8,1.8,2,1
7.3,2.474073025262361,7.3,1.8,2,1
5.7,3.8737569555055913,2.5,0.4,0,0
5.0,2.736519694376406,2.4,0.2,0,0
4.8,3.1854492095236986,2.6,0.2,0,0
5.9,2.7588109124440434,5.2,1.5,1,1
6.7,3.2345878647546518,6.7,2.5,2,2
7.4,2.8819112027527547,7.1,1.9,2,1
6.9,3.609958775684742,6.4,2.1,2,1
7.3,2.36627899318461,7.3,1.8,2,1
5.5,2.2309801764990116,5.0,1.3,1,1
5.5,4.190069507273799,2.4,0.2,0,0
6.9,2.886535059238472,6.7,2.3,2,2
7.3,2.8646942038067373,7.3,1.8,2,1
5.4,3.3493608680089775,2.7,0.2,0,0
5.5,3.4651488691284302,2.3,0.2,0,0
5.6,3.463644008823404,5.1,1.3,1,1
6.4,3.490032722006356,6.5,1.8,2,1
5.2,3.2207579007024405,4.9,1.4,1,1
6.0,1.975811262092466,6.0,1.5,2,1
6.4,2.7303108298598024,6.3,1.9,2,2
6.0,3.2040057328431124,5.5,1.6,1,1
6.8,3.3363317232754124,6.5,2.1,2,1
6.3,3.0507263998604093,5.9,1.8,2,1
5.7,2.191148010505109,5.1,1.3,1,1
6.3,3.092144199302717,5.9,1.5,1,1
6.0,2.531183586790997,6.0,1.5,2,1
7.2,2.735420542802801,7.0,1.8,2,1
