sepal_length,sepal_width,petal_length,petal_width,target,prediction
7.7,3.794850786591535,7.7,2.2,2,1
6.7,2.9632750566818915,6.0,1.7,1,1
5.1,3.2434954489554637,2.5,0.4,0,0
6.7,2.834544707404577,6.6,2.4,2,2
5.2,3.0903105281090935,2.5,0.2,0,0
6.3,2.5907689096817057,5.4,1.3,1,1
6.2,2.675540884596486,5.8,1.8,2,1
6.1,3.016212046720963,5.7,1.4,1,1
4.7,3.8853225498405703,2.6,0.2,0,0
4.7,3.474313401663656,2.6,0.2,0,0
5.5,2.402292641711259,5.4,1.2,1,1
6.2,2.5015876236745775,5.8,1.8,2,1
5.0,2.8717304683389377,2.6,0.4,0,0
5.0,2.0225910886078626,4.3,1.0,1,1
4.4,3.306807736571706,2.3,0.2,0,0
5.7,4.551747158208801,2.5,0.4,0,0
7.2,3.282511809216877,7.0,1.8,2,1
5.0,3.559538768629299,2.6,0.6,0,0
5.2,2.5044811976774604,4.9,1.4,1,1
5.8,2.852212227935332,6.1,2.4,2,2
6.9,3.229413012496186,6.1,2.3,2,1
4.7,2.93443577775271,2.3,0.2,0,0
6.0,1.99563474278858,6.0,1.5,2,1
4.6,3.5246717011931104,2.4,0.3,0,0
6.4,3.3241413843437972,6.3,2.3,2,2
7.7,2.6258096370789588,7.9,2.3,2,2
5.4,3.2368053844321985,5.5,1.5,1,1
6.7,3.018717689762748,5.4,1.4,1,1
6.3,3.272616404803338,6.6,1.8,2,1
6.0,2.8804240843972337,5.8,1.8,2,1
