sepal_length,sepal_width,petal_length,petal_width,target,prediction
5.0,2.5389988086004736,4.3,1.0,1,1
5.6,2.1686558170960244,5.2,1.3,1,1
6.2,3.0190346843228766,5.3,1.3,1,1
6.8,3.050928930454597,6.5,2.1,2,2
4.7,2.860280632246012,2.3,0.2,0,0
6.0,2.0971873424314094,5.0,1.0,1,1
6.5,2.479797070014198,6.2,2.0,2,2
6.7,2.417517823689831,6.8,1.8,2,2
6.5,2.0790280073794625,6.5,1.8,2,2
7.9,3.390846118186202,7.4,2.0,2,1
6.7,3.1592404917658072,6.0,1.7,1,1
6.5,3.0079565172015523,6.8,2.2,2,2
5.2,3.1145005181018295,2.5,0.2,0,0
6.3,2.9073028653490423,5.7,1.6,1,1
4.8,3.5283015941401277,2.6,0.2,0,0
5.4,3.1247333268731787,2.5,0.4,0,0
6.8,2.707202451499182,5.8,1.4,1,1
6.7,3.7468368213826624,6.7,2.1,2,1
5.8,2.4277728692407536,6.1,1.9,2,2
5.6,3.173422489291557,4.6,1.3,1,1
5.6,2.8836688656877505,5.9,2.0,2,2
5.7,4.458482465373456,2.5,0.4,0,0
5.7,3.2746655824262882,5.2,1.2,1,1
5.7,3.0549993063880443,5.2,1.3,1,1
5.0,2.0348552398726003,4.3,1.0,1,1
6.3,2.31936546711058,5.9,1.8,2,1
5.5,2.2680039213013083,4.7,1.0,1,1
6.8,2.389636103711656,5.8,1.4,1,1
5.2,3.8745517911528164,2.5,0.1,0,0
5.9,2.88182876114901,6.1,1.8,2,2
