sepal_length,sepal_width,petal_length,petal_width,target,prediction
6.8,2.908847914632442,5.8,1.4,1,1
6.2,2.636748219338559,5.8,1.8,2,1
6.7,2.908702831064504,5.4,1.4,1,1
6.1,2.1865721440157295,5.0,1.3,1,1
6.3,2.3192970587524537,5.4,1.3,1,1
5.8,2.5864194676648764,6.1,1.9,2,2
5.7,4.2455900787100465,2.5,0.4,0,0
4.3,3.333468106713805,2.1,0.1,0,0
7.0,2.905088346820444,5.7,1.4,1,1
6.4,3.2275979379808417,6.5,1.8,2,1
5.8,2.631072870548598,6.1,2.4,2,2
4.9,2.9699844643675806,2.5,0.2,0,0
5.5,2.702160425812707,4.7,1.0,1,1
6.4,2.900060161377576,5.3,1.3,1,1
5.8,2.6658163092433256,5.0,1.2,1,1
5.4,3.747858277323227,2.3,0.4,0,0
4.4,2.192122281238815,2.4,0.2,0,1
5.6,2.947975497929193,4.6,1.3,1,1
6.7,3.3880734239852233,6.0,1.7,1,1
6.5,2.807546782922497,5.6,1.5,1,1
7.0,3.4988752208691176,5.7,1.4,1,1
5.9,3.0940239093078703,6.1,1.8,2,2
6.5,3.293014298201362,6.1,2.0,2,1
5.1,3.4913410105821945,2.4,0.3,0,0
7.6,2.538124356765426,7.6,2.1,2,2
7.7,3.1695728328681736,7.1,2.3,2,1
6.0,3.1734512756700646,5.5,1.6,1,1
6.7,2.5717842527746706,6.8,1.8,2,2
6.1,2.8998164411201044,5.0,1.3,1,1
4.7,3.2845736747334966,2.3,0.2,0,0
