sepal_length,sepal_width,petal_length,petal_width,target,prediction
5.7,2.9066114620903907,5.1,1.3,1,1
6.5,2.858750896725115,5.6,1.5,1,1
5.6,2.959279174517125,4.6,1.3,1,1
5.4,3.716978899442722,2.5,0.2,0,0
6.1,2.6216782177094835,5.7,1.2,1,1
6.7,3.497324858009413,6.7,2.1,2,2
5.4,3.088604657583855,5.5,1.5,1,1
6.3,2.4715551788453856,6.0,1.9,2,2
5.7,4.522590916991179,2.5,0.4,0,0
6.3,2.107360206082065,5.4,1.3,1,1
4.7,3.4066055619144597,2.6,0.2,0,0
4.9,2.5305116036991655,5.5,1.7,2,2
6.3,3.7882163727957128,5.7,1.6,1,0
5.8,3.7667320593207188,2.2,0.2,0,0
6.4,2.401553842184834,6.3,1.9,2,2
7.7,2.9131528928735713,7.9,2.3,2,2
6.3,2.1476591116747676,5.4,1.3,1,1
5.8,4.1646621839040225,2.2,0.2,0,0
5.8,2.664603224507383,6.1,2.4,2,2
6.6,3.034212258170534,5.4,1.4,1,1
6.7,3.673184208326557,6.7,2.5,2,2
6.2,2.0973383666508365,5.5,1.5,1,1
7.6,2.60917304287026,7.6,2.1,2,2
5.0,3.0961207829763473,2.6,0.2,0,0
6.7,3.457973903751518,6.2,2.3,2,2
5.1,3.982836054935393,2.5,0.4,0,0
5.7,2.8635161847101673,6.0,2.0,2,2
4.4,2.940739865649558,2.4,0.2,0,0
5.7,2.9810571338487035,6.0,2.0,2,2
4.9,2.9445452842913284,2.5,0.2,0,0
