sepal_length,sepal_width,petal_length,petal_width,target,prediction
5.0,3.087257572699992,2.6,0.2,0,0
5.6,2.7471049593927788,5.9,2.0,2,2
5.6,2.021034093805271,4.9,1.1,1,1
5.5,2.5505421476424717,2.3,0.2,0,1
6.4,2.8451221710995505,6.5,1.8,2,1
7.7,3.10353105638578,7.7,2.0,2,1
6.7,2.938594043684846,5.7,1.5,1,1
6.3,2.4292708154992053,6.1,1.5,2,1
5.1,3.297083831497007,2.4,0.2,0,0
6.5,2.906642489810632,6.8,2.2,2,2
5.0,3.509730757527533,2.4,0.2,0,0
6.4,3.101430865966401,6.3,2.3,2,2
5.5,2.4754153491195114,4.8,1.1,1,1
7.6,3.118078467027074,7.6,2.1,2,2
7.4,2.915764635051145,7.1,1.9,2,1
5.9,3.105232669929509,5.8,1.8,1,1
7.9,4.1873160306720685,7.4,2.0,2,1
7.7,2.9354847417077012,7.1,2.3,2,2
7.1,2.574427862568997,6.9,2.1,2,2
6.3,3.108333235198012,6.6,2.4,2,2
5.7,3.9664791026629276,2.5,0.4,0,0
6.2,2.3246798237187636,5.3,1.3,1,1
6.0,2.333807368828079,6.0,1.5,2,1
7.2,3.105717162583832,7.0,1.8,2,1
6.5,2.9591013171009175,6.1,2.0,2,1
4.9,3.2795448499525297,2.5,0.2,0,0
4.7,3.606744465712812,2.3,0.2,0,0
5.0,3.4677630998888116,2.6,0.4,0,0
6.0,3.6914487788188954,5.8,1.8,2,1
6.2,2.2663519372429928,5.5,1.5,1,1
