sepal_length,sepal_width,petal_length,petal_width,target,prediction
6.4,3.112679400504133,6.6,2.2,2,2
5.1,3.7414110287942424,2.5,0.2,0,0
6.5,2.7077389672214753,6.5,1.8,2,1
5.4,3.160412848635325,2.5,0.4,0,0
5.6,3.1682462160088822,5.1,1.3,1,1
5.5,2.7708503330395384,4.7,1.0,1,1
5.5,2.4286330194627253,5.4,1.2,1,1
4.8,3.044339043835635,2.4,0.3,0,0
5.6,2.74709475057991,5.5,1.5,1,1
5.2,3.6494354597704683,2.4,0.2,0,0
6.9,3.0062795899291266,6.4,2.1,2,1
6.2,2.8403650886543796,5.3,1.3,1,1
5.7,2.7996474440879924,5.5,1.3,1,1
6.3,2.639546259122837,6.1,1.5,2,1
5.6,2.7468356695032656,5.9,2.0,2,2
5.2,3.4675645723580293,2.5,0.2,0,0
6.0,2.2374161449673937,5.5,1.5,1,1
5.0,3.8375704690435946,2.5,0.2,0,0
5.1,3.7146228326996487,2.6,0.2,0,0
5.0,3.914231415230403,2.6,0.4,0,0
7.7,3.778002809095534,7.7,2.2,2,1
5.0,3.5345010609759604,2.6,0.6,0,0
6.2,3.4125338233548557,6.4,2.3,2,2
6.4,3.3413658249945524,6.3,2.3,2,2
6.2,3.116680708471143,5.3,1.3,1,1
5.2,3.9850600809737173,2.5,0.2,0,0
4.8,3.0659012833818537,2.9,0.2,0,0
6.2,3.224417533594557,6.4,2.3,2,2
4.6,3.1606526506831782,2.4,0.2,0,0
6.5,2.888550901948558,6.5,1.8,2,1
